,TITLE,SINGER,LYRIC
10,Text Me Merry Christmas (Feat. Kristen Bell),Straight No Chaser,This holiday You’ll be far away And I’ll be all alone So please remember This December To fully charge your phone And Text me Merry Christmas Let me know you care Just a word or two Of text from you Will remind me you’re still there You don’t have to add much to it One smiley face will do Baby text me Merry Christmas Cause I’m missing kissing you Text me Merry Christmas Make my holiday complete Though you’re far from me Say you’ll brb That’s a text I’ll never delete Choose just the right emoji One that makes me lol And if you text me something naughty I promise I won’t tell I don’t care if you spell things right I just want to hear from you tonight Stroke those keys with your delicate touch And type those little words that mean so much Hi Hey How are you Ok Miss u Miss u too Xmas sucks without you I know lol Love u Love u 2 Kthxbye A facebook message isn’t quite as sweet A need more from you than just a tweet A snap on snapchat doesn’t last And voicemail That’s from Christmas past Text me Merry Christmas Send a selfie too If you do I’ll go ‘Neath the mistletoe And pretend my screen is you Show me that you love me Text xo to kiss and hug me I’ll be right here waiting For my pants to start vibrating Baby text me Merry Christmas And I will text you too This Christmas It’s the least that we can do Merry Christmas
11,Make It To Christmas,Alessia Cara,We were warm and wonderful Once upon a time But now we're frozen hanging by a thread Can we wait a minute Or can we just try to try 'Cause my favorite day is coming up ahead Darling I know that our love is going cold It's just something 'bout the snow this time of year That makes us lose our way just say we'll make up And hold on a little longer Don't have me spending it alone This time of year is precious Please can we make it to Christmas Can we make it to Christmas Christmastime Can we just make it to Christmas Everything will be alright Can we just make it to Christmas If we just hold on Can we just make it to Christmas Hold on ho o old on Make it to Christmas Don't know what I'll say to Dad when he sees the empty chair Don't want to hear my mom say Told you so Waiting for Santa in my bed is no fun if you're not there And I don't want to be angry at mistletoes Darling I know that our love is going cold It's just something 'bout the snow this time of year That makes us lose our way just say we'll make up And hold on a little longer Don't have me spending it alone This time of year is precious Please can we make it to Christmas Can we make it to Christmas Christmastime Can we just make it to Christmas Everything will be alright Can we just make it to Christmas If we just hold on Can we just make it to Christmas Hold on ho o old on Make it to Christmas Christmastime Can we just make it to Christmas Everything will be alright Can we just make it to Christmas If we just hold on Can we just make it to Christmas Hold on ho o old on Darling I know that our love is going cold It's just something 'bout the snow this time of year That makes us lose our way just say we'll make up And hold on a little longer Don't have me spending it alone This time of year is precious Break my heart on Boxing Day Just please can we make it to Christmas Christmastime Can we just make it to Christmas Everything will be alright Can we just make it to Christmas If we just hold on Can we just make it to Christmas Hold on ho o old on Make it to Christmas Yeah Christmastime Can we just make it to Christmas Everything will be alright Can we just make it to Christmas If we just hold on Can we just make it to Christmas Hold on ho o old on Make it to Christmas
12,"Hey Mama (Feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,19
13,2002,Anne-Marie,I will always remember The day you kissed my lips Light as a feather And it went just like this No it's never been better Than the summer of 2002 We were only eleven But acting like grown-ups Like we are in the present Drinking from plastic cups Singing love is forever and ever Well I guess that was true Dancing on the hood in the middle of the woods On an old Mustang where we sang Songs with all our childhood friends And it went like this say Oops I got 99 problems singing bye bye bye Hold up if you wanna go and take a ride with me Better hit me baby one more time Paint a picture for you and me On the days when we were young Singing at the top of both our lungs Now we're under the covers Fast forward to eighteen We are more than lovers Yeah we are all we need When we're holding each other I'm taken back to 2002 Dancing on the hood in the middle of the woods On an old Mustang where we sang Songs with all our childhood friends And it went like this say Oops I got 99 problems singing bye bye bye Hold up if you wanna go and take a ride with me Better hit me baby one more time Paint a picture for you and me On the days when we were young Singing at the top of both our lungs On the day we fell in love On the day we fell in love Dancing on the hood in the middle of the woods On an old Mustang where we sang Songs with all our childhoods friends Oh now Oops I got 99 problems singing bye bye bye Hold up if you wanna go and take a ride with me Better hit me baby one more time Paint a picture for you and me On the days when we were young Singing at the top of both our lungs On the day we fell in love On the day we fell in love On the day we fell in love On the day we fell in love On the day we fell in love love love
14,Underneath The Tree,Kelly Clarkson,You're here where you should be Snow is falling as the carolers sing It just wasn't the same Alone on Christmas day Presents what a beautiful sight Don't mean a thing if you ain't holding me tight You're all that I need Underneath the tree Tonight I'm gonna hold you close Make sure that you know I was lost before you Christmas was cold and grey Another holiday alone to celebrate But then one day everything changed You're all I need Underneath the tree You're here where you should be Snow is falling as the carolers sing It just wasn't the same Alone on Christmas day Presents what a beautiful sight Don't mean a thing if you ain't holding me tight You're all that I need Underneath the tree I found what I was looking for A love that's meant for me A heart that's mine completely Knocked me right off my feet And this year I will fall With no worries at all 'Cause you are near and everything's clear You're all I need Underneath the tree You're here where you should be Snow is falling as the carolers sing It just wasn't the same Alone on Christmas day Presents what a beautiful sight Don't mean a thing if you ain't holding me tight You're all that I need Underneath the tree And then one day everything changed You're all I need Underneath the tree You're here where you should be Snow is falling as the carolers sing It just wasn't the same Alone on Christmas day Presents what a beautiful sight Don't mean a thing if you ain't holding me tight You're all that I need Underneath the tree tonight You're all I need Underneath underneath the tree
15,Tiny Riot,Sam Ryder,There's a feeling there's a fire There's a whisper preachin' to the choir Take the leaders and the liars Throw your fears on the funeral pyre Keep on breathin' don't go under Keep your ear to the ground hear the thunder When the earth quakes and the ground shakes Throw your passion to the wind when the storm breaks Mother sister father brother Step into the light and start a tiny riot Stop being so god damn quiet Got a spark in your heart so strike it Wash away your pain Turn the pourin' rain to a tidal wave and fight it Got something inside don’t hide it Like dynamite ignitin' Wash away your pain Turn the pourin' rain to the wave of a tiny riot Take the music learn to use it Turn it up 'til your speakers blow fuses Learn the rhythm but never lose it Keep on movin' 'til you know what the truth is If butterflies can use their wings to turn the wind to hurricanes You and I can break the chains and change today To start a tiny riot Stop being so god damn quiet Got a spark in your heart so strike it Wash away your pain Turn the pourin' rain to a tidal wave and fight it Got something inside don’t hide it Like dynamite ignitin' Wash away your pain Turn the pourin' rain to the wave of a tiny riot In the darkness there's a light You can find it if you try If you open up your eyes If you're driftin' out to sea You can just hold on to me We'll make it to the other side And start a tiny riot Stop being so god damn quiet Got a spark in your heart so strike it Wash away your pain Turn the pourin' rain to a tidal wave and fight it Got something inside don’t hide it Like dynamite ignitin' Wash away your pain Turn the pourin' rain to the wave of a tiny riot Riot Like dynamite Wash away your pain Turn the pourin' rain to a tidal wave and fight it Got something inside don’t hide it Like dynamite ignitin' Wash away your pain Turn the pourin' rain to the wave of a tiny riot
16,Christmas Without You,Ava Max,Lights on the trees under falling snow You get a bit closer when the winter’s cold Now I can’t wait till you’re by my side All the best gifts you just can’t buy Wherever you go You light up the room I hope that you make it back home soon Cuz It won’t feel like Christmas without you I wish we were kissing under mistletoe The stars in the sky just can’t match your glow Now I can’t wait till you’re by my side We’ll be warm by the fire all night yeah I wanna hold you while the bells are all ringing Want you to be here while the angels singing Days are perfect when I got you near my only wish is you're here Wherever you go You light up the room I hope that you make it back home soon Cuz It won’t feel like Christmas without you Wherever you are You brighten the mood I hope that you make it back home soon Cuz It won’t feel like Christmas without you We could be outside dancing under moonlight watching the snow fall over our heads We could be inside trying to sing the lines right laughing until we fall out of bed so when I wake up on Christmas Day I hope the first thing I see is your face Wherever you go You light up the room I hope that you make it back home soon Cuz It won’t feel like Christmas without you Wherever you are You brighten the mood I hope that you make it back home soon Cuz It won’t feel like Christmas without you It won’t feel like Christmas without you
17,12:45 (Stripped),Etham,It's 12 45 on a Tuesday and I don't really care what you say I'm just getting off my face tonight Cause I'm just tryna live till the weekend And I don't know how I'm supposed to breathe when Everything you say is playing on my mind You don't know where I've been And you don't know what I'm drinking I need a moment to think about nothing at all Oh baby you gotta stop I see that you're calling I told you that I ain't picking up I know that you wanna start Cause we got our problems I love you but I just need a night off It's getting pretty deep in the A.M. And I should go home but I'm staying I'll be sleeping on the cold floor tonight I hope you'll understand in the morning oh That this is just my problem that I'm solving Yeah I got a lot of stuff on my mind I don't know where I've been And what the hell am I drinking And I can't help but to think yeah it's all my fault Oh baby you gotta stop I see that you're calling I told you that I ain't picking up I know that you wanna start Cause we got our problems I love you but I just need a night off Oh one night Just one night off Oh baby you gotta stop I see that you're calling I told you that I ain't picking up I know that you wanna start Cause we got our problems I love you but I just need a night off Just one night off I love you but I just need tonight off It's 12 45 on a Tuesday I don't really care what you say I'm just getting off my face tonight
18,Santa's Coming For Us,Sia,Night's are getting shorter now hot chocolate Fills the air and Christmas cheer does too Pick a merry old Christmas tree so lovely The joy this time here brings to you Oh do do do oh do do do Oh do do do oh do do do Oh do do do oh do do do Santa's coming to town Oh da da da oh da da da Oh da da da oh da da da Oh da da da oh da da da Santa's coming to town Singing to the deer in the sky Singing as they jingle jingle jingle tonight Singing to the moon set it free You're the angel on the top of my tree Singing to the spirit above Sing your heart out with all of your love Santa's coming for us Santa's coming for us Santa's coming for us Santa's coming for us Santa's coming for us Santa's coming for us Oh Santa's coming for us Send your letters off to Santa baby Tell him all your secret wishes too Send your letters off to Santa baby Hoping all your wildest dreams come true Oh do do do oh do do do Oh do do do oh do do do Oh do do do oh do do do Santa's coming to town Oh da da da oh da da da Oh da da da oh da da da Oh da da da oh da da da Santa's coming to town Singing to the deer in the sky Singing as they jingle jingle jingle tonight Singing to the moon set it free You're the angel on the top of my tree Singing to the spirit above Sing your heart out with all of your love Santa's coming for us Santa's coming for us Santa's coming for us Santa's coming for us Santa's coming for us Santa's coming for us Oh Santa's coming for us Oh do do do oh do do do Oh do do do oh do do do Oh do do do oh do do do Santa's coming to town Oh da da da oh da da da Oh da da da oh da da da Oh da da da oh da da da Santa's coming to town Oh do do do oh do do do Oh do do do oh do do do Oh do do do oh do do do Santa's coming to town Oh da da da oh da da da Oh da da da oh da da da
19,Last Christmas,WHAM!,Ah aha Ooh ohh Ohh Last Christmas I gave you my heart But the very next day you gave it away This year to save me from tears I'll give it to someone special Last Christmas I gave you my heart But the very next day you gave it away You gave it away This year to save me from tears I'll give it to someone special Special Once bitten and twice shy I keep my distance but you still catch my eye Tell me baby do you recognize me Well it's been a year it doesn't surprise me Happy Christmas I wrapped it up and sent it With a note saying I love you I meant it Now I know what a fool I've been But if you kissed me now I know you'd fool me again Last Christmas I gave you my heart But the very next day you gave it away You gave it away This year to save me from tears I'll give it to someone special Special Last Christmas I gave you my heart But the very next day you gave it away This year to save me from tears I'll give it to someone special Special oh Oh oh baby A crowded room friends with tired eyes I'm hiding from you and your soul of ice My God I thought you were someone to rely on Me I guess I was a shoulder to cry on A face on a lover with a fire in his heart A man under cover but you tore me apart Ooh-hoo Now I've found a real love you'll never fool me again Last Christmas I gave you my heart But the very next day you gave it away You gave it away This year to save me from tears I'll give it to someone special Special Last Christmas I gave you my heart I gave you my heart But the very next day you gave it away You gave me away This year to save me from tears Ohh I'll give it to someone special Special A face on a lover with a fire in his heart I gave you my heart A man under cover but you tore him apart Maybe next year I'll give it to someone I'll give it to someone special Special Someone
