,TITLE,SINGER,LYRIC
20,Memories,Maroon 5,Here's to the ones that we got Cheers to the wish you were here but you're not 'Cause the drinks bring back all the memories of everything we've been through Toast to the ones here today Toast to the ones that we lost on the way 'Cause the drinks bring back all the memories And the memories bring back memories bring back you There's a time that I remember when I did not know no pain When I believed in forever and everything would stay the same Now my heart feel like December when somebody say your name 'Cause I can't reach out to call you but I know I will one day ay Everybody hurts sometimes everybody hurts someday ay-ay Everything gon' be alright go and raise a glass and say hey Here's to the ones that we got Cheers to the wish you were here but you're not 'Cause the drinks bring back all the memories of everything we've been through Toast to the ones here today Toast to the ones that we lost on the way Cause the drinks bring back all the memories And the memories bring back memories bring back you Doo-doo doo-doo-doo-doo Doo-doo-doo-doo doo-doo-doo-doo Doo-doo-doo-doo doo-doo-doo Memories bring back memories bring back you There's a time that I remember when I never felt so lost When I felt all of the hatred was too powerful to stop Ooh yeah Now my heart feel like an ember and it's lighting up the dark I'll carry these torches for ya That you know I'll never drop yeah Everybody hurts sometimes everybody hurts someday ay-ay Everything gon' be alright go and raise a glass and say hey Here's to the ones that we got Ohh Cheers to the wish you were here but you're not 'Cause the drinks bring back all the memories of everything we've been through No no Toast to the ones here today Ay Toast to the ones that we lost on the way 'Cause the drinks bring back all the memories ay And the memories bring back memories bring back you Doo-doo doo-doo-doo-doo Doo-doo-doo-doo doo-doo-doo-doo Doo-doo-doo-doo doo-doo-doo Memories bring back memories bring back you Doo-doo doo-doo-doo-doo Doo-doo-doo-doo doo-doo-doo-doo Doo-doo-doo-doo doo-doo-doo Ooh yeah Memories bring back memories bring back you Yeah yeah yeah Mmm yeah yeah no Memories bring back memories bring back you
21,Like It's Christmas,Jonas Brothers,Dum-dum-dum-dum The snow on the ground the love in the air Sleigh bells are ringin' This is what it's all about The fire is warm the angels are singin' And I don't wanna miss a single thing Don't wanna put end to all this cheer But as long as you're with me It's always the time of the year You make everyday feel like it's Christmas Never wanna stop Feelin' like the first thing on your wishlist Right up at the top I can't deny what I'm feelin' inside Nothin' fake about the way you bring me to life You make every day feel like it's Christmas Everyday that I'm with you Look at the lights Twinklin' bright 24/7 Every inch of Central Park is covered in white This could be heaven And I don't wanna miss a single thing Don't wanna put end to all this cheer But as long as you're with me It's always the time of the year yeah woo You make everyday feel like it's Christmas Like it's Christmas Never wanna stop Feelin' like the first thing on your wishlist Right up at the top I can't deny what I'm feelin' inside Nothin' fake about the way you bring me to life You make everyday feel like it's Christmas Everyday that I'm with you Woo woo woo yeah Every day that I'm with you Every day every night Oh oh all day You make everyday feel like it's Christmas Never wanna stop Feelin' like the first thing on your wishlist Right up at the top And I can't deny I can't deny what I'm feelin' inside Nothin' fake about the way you bring me to life You make everyday feel like it's Christmas Everyday that I'm with you Hey hey yeah Everyday la-la-la I can't deny what I'm feelin' inside No matter the reason no matter decision My heart will keep beatin' you better believe You make everyday feel like it's Christmas Like it's Christmas Everyday that I'm with you Oh-oh-oh oh-oh-oh oh-oh-oh Everyday that I'm with you Oh-oh-oh oh-oh-oh oh-oh-oh Everyday that I'm with you
22,Oh Santa! (Feat. Ariana Grande & Jennifer Hudson),Mariah Carey,Oh Santa's gonna come and make you mine this Christmas Santa's gonna come and make you mine mine Oh Santa Oh Santa's gonna come and make you mine this Christmas Oh Santa Santa's gonna come and make you mine mine Santa if you get this letter won't you help me out I know you're kind of busy with your elves right now And I don't know how You do the things you do while I sleep on Christmas Eve But it's amazing And I bet that you can bring me back my baby Because every time I see Christmas lights I feel this void inside and I just can't take it I saw them shopping last week And his new girl was so bleak And then I swore to myself Santa's gonna come and make him mine this Christmas night Ho ho ho Santa's gon' come make him mine this Christmas Santa's gon' come make him mine ho ho ho Santa's gon' come make him mine this Christmas night Oh Santa I heard that it's really gonna snow this year So I hope Rudolph and them other eight reindeer get you safely here So you can scoop him up right down my chimney I've been really really really good this year So put on that red suit and make him appear Because Christmas cheer just ain't the same without my baby Come on ol' Kris Kringle save me They say it's unrealistic but I believe in Saint Nick So grant this wish for me right quick Santa won't you come and make him mine this Christmas night Ho ho ho Santa's gon' come make him mine this Christmas Santa's gon' come make him mine ho ho ho Santa's gon' come make him mine this Christmas night Oh santa Oh santa Oh Santa's gon' come make him mine this Christmas Santa's gon' come make him mine mine Santa's gon' come make him mine this Christmas Santa's gon' come make him mine mine Oh oh oh oh Oh Santa Claus If you get this letter please don't make me wait All December I've been counting down the days So hop on your sleigh I promise that I won't forget milk and cookies The tree's all sparkly and gold But inside I feel so cold So as soon as you leave the North Pole Santa won't you come make him mine this Christmas Santa's gon' come make him mine Ho ho ho Santa's gon' come make him mine I know he will this Christmas Santa's gon' come make him mine Ho ho ho Santa's gon' come make him mine mine Santa's gon' come make him mine this Christmas ho ho ho Santa's gon' come make him mine this Christmas night Santa's gon' come make him mine this Christmas Santa's gon' come make him mine mine Santa's gon' come make him mine this Christmas
23,Bring Me Love,John Legend,I don't need my stocking filled with toys And I don't need no gifts to bring me joy Baby I haven't hung my mistletoe 'Cause without you baby I can't see no point Baby I hope Santa brings you to me 'Cause it's all I wished for this Christmas Eve No I don't want much your love is all I need Baby I hope Santa brings you to me Hope he's bringing me love this Christmas 'Cause I deserve you here Bring me love this Christmas 'Cause I've been good this year Hope he's bringing me love this Christmas 'Cause I deserve you here Bring me love this Christmas 'Cause I've been good this year I don't wanna light this tree alone I can't sing Christmas songs if you're not home No I haven't hung my mistletoe 'Cause without you baby I can't see no point Baby I hope Santa brings you to me 'Cause it's all I wished for this Christmas Eve No I don't want much your love is all I need Baby I hope Santa brings you to me Hope he's bringing me love this Christmas 'Cause I deserve you here Bring me love this Christmas 'Cause I've been good this year It's been so cold since you've been gone This winter seems so long And I can't get in no spirit It feels so wrong Bring me love this Christmas 'Cause I deserve you here Bring me love this Christmas 'Cause I've been good this year Hope he bringing me love this Christmas 'Cause I deserve you here Bring me love this Christmas 'Cause I've been good this year Hope he bringing me love this Christmas 'Cause I deserve you here Bring me love this Christmas 'Cause I've been good this year Hope he bringing me love this Christmas 'Cause I deserve you here Bring me love this Christmas 'Cause I've been good this year Hey Love this Christmas Would you bring me love Deserve you here Love this Christmas Good this year Love this Christmas It's the only thing I need Deserve you here Love this Christmas Good this year
24,Merry Christmas,"Ed Sheeran, Elton John",Build a fire and gather ‘round the tree Fill a glass and maybe come and sing with me So kiss me under the mistletoe Pour out the wine let’s toast and pray for December snow I know there’s been pain this year but it’s time to let it go Next year you never know but for now Merry Christmas We’ll dance in the kitchen while embers glow We’ve both known love but this love that we got is the best of all I wish you could see you through my eyes then you would know My god you look beautiful right now Merry Christmas The fire is raging on And we’ll all sing along to the songs Just having so much fun While we’re here can we all spare a thought for the ones who have gone Merry Christmas everyone So just keep kissing me under the mistletoe Pour out the wine let’s toast and pray for December snow I know there’s been pain this year but it’s time to let it go Next year you never know but for now Merry Christmas We’ll dance in the kitchen while embers glow We’ve both known love but this love that we got is the best of all I wish you could see you through my eyes then you would know My god you look beautiful right now Merry Christmas I feel it when it comes Every year helping us carry on Filled up with so much love All our family and friends are together where we all belong Merry Christmas everyone It’s Christmas time for you and I We’ll have a good night and a Merry Christmas It’s Christmas time for you and I We’ll have a good night and a Merry Christmas It’s Christmas time for you and I We’ll have a good night and a Merry Christmas It’s Christmas time for you and I We’ll have a good night and a Merry Christmas
25,It's Beginning To Look A Lot Like Christmas,Michael Buble,"It's beginning to look a lot like Christmas Ev'rywhere you go Take a look in the five and ten glistening once again With candy canes and silver lanes aglow It's beginning to look a lot like Christmas Toys in ev'ry store But the prettiest sight to see is the holly that will be On your own front door A pair of hopalong boots and a pistol that shoots Is the wish of Barney and Ben; Dolls that will talk and will go for a walk Is the hope of Janice and Jen And Mom and Dad can hardly wait for school to start again It's beginning to look a lot like Christmas Ev'rywhere you go There's a tree in the Grand Hotel, one in the park as well, It's sturdy kind that doesn't mind the snow It's beginning to look a lot like Christmas Soon the bells will start, And the thing that will make them ring is the carol that you sing Right within your heart It's beginning to look a lot like Christmas Toys in ev'ry store But the prettiest sight to see is the holly that will be On your own front door Show it's Christmas once a more"
26,Paris In The Rain,Lauv,All I know is ooh-ooh-ooh We could go anywhere we could do Anything girl whatever the mood we're in All I know is ooh-ooh-ooh Getting lost late at night under stars Finding love standing right where we are your lips They pull me in the moment you and I alone and People may be watching I don't mind 'Cause Anywhere with you feels right Anywhere with you feels like Paris in the rain Paris in the rain We don't need a fancy town Or bottles that we can't pronounce 'Cause anywhere babe Is like Paris in the rain When I'm with you When I'm with you Paris in the rain Paris in the rain I look at you now and I want this forever I might not deserve it but there's nothing better Don't know how I ever did it all without you My heart is about to about to jump out of my chest Feelings they come and they go that they do Feelings they come and they go not with you The late nights and the street lights and the people Look at me girl and the whole world could stop Anywhere with you feels right Anywhere with you feels like Paris in the rain Paris in the rain We don't need a fancy town Or bottles that we can't pronounce 'Cause anywhere babe Is like Paris in the rain When I'm with you When I'm with you Paris in the rain Paris in the rain oh Girl when I'm not with you All I do is miss you So come and set the mood right Underneath the moonlight Days in Paris nights in Paris Paint you with my eyes closed Wonder where the time goes Yeah isn't it obvious isn't it obvious Come and set the mood right Underneath the moonlight 'Cause anywhere with you feel right Anywhere with you feels like Paris in the rain Paris in the rain Walking down an empty street Puddles underneath our feet
27,come out and play,Billie Eilish,Wake up and smell the coffee Is your cup half full or empty When we talk you say it softly But I love it when you're awfully quiet quiet You see a piece of paper Could be a little greater Show me what you could make her You'll never know until you try it You don't have to keep it quiet And I know it makes you nervous But I promise you it's worth it To show 'em everything you kept inside Don't hide don't hide Too shy to say but I hope you stay Don't hide away Come out and play Look up out of your window See snow won't let it in though Leave home feel the wind blow 'Cause it's colder here inside in silence You don't have to keep it quiet Yeah I know it makes you nervous But I promise you it's worth it To show 'em everything you kept inside Don't hide don't hide Too shy to say but I hope you stay Don't hide away Come out and play
28,Mistletoe,Justin Bieber,It's the most beautiful time of the year Lights fill the streets spreading so much cheer I should be playing in the winter snow But Ima be under the mistletoe I don't wanna miss out on the holiday But I can't stop staring at your face I should be playing in the winter snow But Ima be under the mistletoe With you shawty with you With you shawty with you With you under the mistletoe Everyone's gathering around the fire Chestnuts roasting like a hot July I should be chillin' with my folks I know But Ima be under the mistletoe Word on the streets Santa's coming tonight Reindeer flying thru the sky so high I should be makin' a list i know But Ima be under the mistletoe With you shawty with you With you shawty with you With you under the mistletoe With you shawty with you With you shawty with you With you under the mistletoe Aye love the Wise Men followed the star The way I follow my heart And they led me to a miracle Aye love don't you buy me nothing 'Cause I am feeling one thing Your lips on my lips That's a merry merry Christmas It's the most beautiful time of the year Lights fill the streets spreading so much cheer I should be playing in the winter snow But Ima be under the mistletoe I don't wanna miss out on the holiday But I can't stop staring at your face I should be playing in the winter snow But Ima be under the mistletoe With you shawty with you With you shawty with you With you under the mistletoe With you shawty with you With you shawty with you With you under the mistletoe Kiss me underneath the mistletoe Show me baby that you love me so Oh oh oh oh oh oh Kiss me underneath the mistletoe Show me baby that you love me so Oh oh oh oh oh oh
29,abcdefu,Gayle,Fuck you and your mom and your sister and your job and your broke ass car and that shit you call art fuck you And your friends that i’ll never see again everybody but your dog you can all FUCK OFF i swear i meant to mean the best when it ended even try to bite my tongue when you start shit now you’re texting all my friends asking questions they never even liked you in the first place dated a girl that i hate for the attention she only made it two days what a connection it’s like you’d do anything for my affection you’re going all about it in the worst ways i was into you but I’m over it now and I was trying to be nice but nothing’s getting through so let me spell it out a b c d e f u and your mom and your sister and your job and your broke ass car and that shit you call art fuck you And your friends that i’ll never see again everybody but your dog you can all fuck off Nananananananana a b c d e f u You said you just needed space and so i gave it when I had nothing to say you couldn’t take it told everyone i’m a bitch so i became it always had to put yourself above me i was into you but I’m over it now and I was trying to be nice but nothing’s getting through so let me spell it out a b c d e f u and your mom and your sister and your job and your craigslist couch and the way your voice sounds fuck you And you friends that i’ll never see again everybody but your dog you can all fuck off Nananananananana a b c d e f off Nananananananana a b c d e f u and your mom and your sister and your job and your broke ass car and that shit you call art fuck you And your friends that i’ll never see again everybody but your dog you can all FUCK OFF
30,Bad,Christopher,I don't wanna be another him that shit is over Finally you found yourself a friend and you run him over Ever since the start I saw the end around the corner Cause I know you so well So predictable You're an animal I can't let you go You're so good at being bad you know So predictable You're an animal I can't let you go You're so good at being bad uh My baby's bad you know My baby's bad you know My baby my my My baby's bad you know My my baby's bad you know My my baby's bad you know My baby my my My baby's bad you know You know I'm not gonna leave your side and I can't deny it Tried to play it cool but I can't hide my true desire Cause I can see the dirty in your eyes my favourite liar And I know you so well well well well So predictable You're an animal I can't let you go You're so good at being bad you know So predictable You're an animal I can't let you go You're so good at being bad uh My baby's bad you know My baby's bad you know My baby my my My baby's bad you know My my baby's bad you know My my baby's bad you know My baby my my My baby's bad you know I can see the way you look at me waiting to attack You are on your worst behaviour I want it just like that I can see the way you look at me waiting to attack You are on your worst behaviour I want it just like that uh My baby's bad you know My baby's bad you know My baby my my My baby's bad you know My my baby's bad you know My my baby's bad you know My baby my my My baby's bad you know So predictable You're an animal I can't let you go You're so good at being bad you know So predictable You're an animal I can't let you go You're so good at being bad uh
31,Dance Monkey,Tones And I,They say Oh my god I see the way you shine Take your hand my dear and place them both in mine You know you stopped me dead when I was passing by And now I beg to see you dance just one more time Ooh I see you see you see you every time And oh my I I I I like your style You you make me make me make me wanna cry And now I beg to see you dance just one more time So they say Dance for me dance for me dance for me oh oh oh I've never seen anybody do the things you do before They say Move for me move for me move for me ay ay ay And when you’re done I'll make you do it all again I said Oh my god I see you walking by Take my hands my dear and look me in my eyes Just like a monkey I've been dancing my whole life And you just beg to see me dance just one more time Ooh I see you see you see you every time And oh my I I I I like your style You you make me make me make me wanna cry And now I beg to see you dance just one more time So they say Dance for me dance for me dance for me oh oh oh I’ve never seen anybody do the things you do before They say Move for me move for me move for me ay ay ay And when you're done I'll make you do it all again They say Dance for me dance for me dance for me oh oh oh oh oh oh oh I've never seen anybody do the things you do before They say Move for me move for me move for me ay ay ay And when you're done I'll make you do it all again Ooh ooh ooh ooh ooh Do it all again do it all again do it all again Do it all again do it all again do it all again Ooh ah ah ah ah They say Dance for me dance for me dance for me oh oh oh I've never seen anybody do the things you do before They say Move for me move for me move for me ay ay ay And when you're done I’ll make you do it all again They say Dance for me dance for me dance for me oh oh oh oh oh oh oh I’ve never seen anybody do the things you do before They say Move for me move for me move for me ay ay ay And when you're done I’ll make you do it all again All again
32,You Deserve It All,John Legend,You've given me the world with all your love So I got you something special just because I found a gift that's perfect And you're more worth it It's everything that you've been dreamin' of Oh this is my love language So I'll go 'head and say it 'Cause you're the gift that keeps on giving And you deserve it all All You deserve it all All You know you've been good at all year Come over here And let me show you You deserve it all All You deserve it all All I'll shower you with more than you'll ever need It's all good with me 'Cause you deserve it all You give of yourself so unselfishly So I I wanna give with all the finest things I found a gift that's perfect And you're more worth it It's everything that you been dreamin' of So treat yourself to something nice The luxuries in life 'Cause you're the gift that keeps on giving And you deserve it all All You deserve it all All You know you've been good at all year Come over here And let me show you You deserve it all All You deserve it all All I'll shower you with more than you'll ever need It's all good with me 'Cause you deserve it all For all you mean to me Underneath the tree For you to see Beyond your wildest dreams And I know that should do this all year long 'Cause you deserve it all All You deserve it all All And you know you've been good at all year Come over here And let me show you You deserve it all All You deserve it all All I'll shower you with more than you'll ever need It's all good with me 'Cause you deserve it all All All
33,White Christmas,Kelly Clarkson,I'm dreaming of a White Christmas Just like the ones I used to know Where the treetops glisten And children listen To hear sleigh bells in the snow I'm dreaming of a White Christmas With every Christmas card I write May your days be merry and bright And may all your Christmases be white oh I'm dreaming of a White Christmas With every Christmas card I write May your days be merry and bright And may all your Christmases be white
34,Someday At Christmas (애플 크리스마스 광고 삽입곡),"Stevie Wonder, Andra Day",Someday at Christmas men won't be boys Playing with bombs like kids play with toys One warm December our hearts will see A world where men are free Someday at Christmas there'll be no wars When we have learned what Christmas is for When we have found what life's really worth There'll be peace on earth Someday all our dreams will come to be Someday in a world where men are free Maybe not in time for you and me But someday at Christmas time Someday at Christmas we'll see a land With no hungry children no empty hand One happy morning people will share Our world where people care Someday at Christmas there'll be no tears All men are equal and no men have fears One shining moment one prayer away From our world today Someday all our dreams will come to be Someday in a world where people are free Maybe not in time for you and me But someday at Christmas time Someday at Christmas man will not fail Hate will be gone and love will prevail Someday a new world that we can start With hope in every heart Someday all our dreams will come to be Someday in a world where people are free Maybe not in time for you and me But someday at Christmas time Someday at Christmas time
35,"Santa, Can’t You Hear Me","Kelly Clarkson, Ariana Grande",Keep the snow and sleigh rides Keep those silver bells Keep the gifts beneath the tree Give them to someone else Keep that magic snowman Keep those twinkly lights Keep the reindeer My heart already knows how to fly 'Cause all I ever wanted Was nothin' I got and Santa can't you hear me Oh-oh oh oh-oh oh oh I don't need a thing I sent a letter to you ooh ooh On how to make my dreams come true yeah yeah What I want for Christmas Hasn't come and I been so blue Tell me what can I do Ooh ooh oh yeah Keep the mistlеtoe Keep the mistletoе Unless below is what I need What I need Santa can't you hear me Keep those bows and boxes Keep them bows and them boxes Keep those three wise men No need for a North star to show me where I will end 'Cause all I ever wanted Isn't on a shelf and Santa can't you hear me Oh-oh oh oh-oh oh oh Ooh yeah ooh ooh ooh I don't need a thing I sent a letter to you ooh ooh On how to make my dreams come true oh-woah What I want for Christmas Hasn't come and I been so blue Tell me what can I do Ooh ooh oh yeah Keep the mistletoe Unless below is what I need Oh Santa can't you hear me Yeah 'Cause all I ever wanted Was nothing I got and Santa can't you hear me There's one thing that I need Oh-oh oh oh Ooh yeah Oh oh Ooh yeah Oh oh Baby I don't need a thing I sent a letter to you ooh ooh You ooh ooh On how to make my dreams come true oh-woah What I want for Christmas Hasn't come and I been so blue Tell me what can I do Ooh ooh oh yeah Keep the mistletoe Unless below is what I need oh Santa can't you hear me
36,HERE (For Christmas),Lukas Graham,Every year around this time I start to think about you We’re really gonna have another Christmas Eve without you I can’t believe it’s been so long Every day finds a way to make me think about you Like today when we were picking out the tree without you I can’t believe it’s been so long Oh we miss you like hell All the stories that you’d tell About the boat that you built But never got to sail I don’t know whether I should cry or I should smile through my tears But if you were here We would sail that boat into the red horizon Those years lost I’d tell you all about them Gone don’t always mean that you disappear Cause inside all of us you’re still here Another year has past and now it’s time for buying presents I even got you one forgetting you’re not gonna get it I can’t believe it’s been so long This time around we’ll try to smile cause we’re sick of tears Most days are easy now but it gets hard this time of year I can believe you’re really gone Oh we miss you like hell All the stories that you’d tell About the boat that you built But never got to sail I don’t know whether I should cry or I should smile through my tears But if you were here We would sail that boat into the red horizon Those years lost I’d tell you all about them Gone don’t always mean that you disappear Cause inside all of us you’re still Wild and free I’ve got so many memories Soon time too will take all of them from me Gone don’t always mean that you disappear Cause inside all of us you’re still here When it’s dark and it’s cold Everyone is coming home I just wish you could know That’s when we’re missing you the most I don’t know whether I should cry or I should smile through my tears But if you were here We would sail that boat into the red horizon Those years lost I’d tell you all about them Gone don’t always mean that you disappear Cause inside all of us you’re still Wild and free I’ve got so many memories Soon time too will take all of them from me Gone don’t always mean that you disappear Cause inside all of us you’re still here
37,Stuck with U,"Ariana Grande, Justin Bieber",Mmm Hey yeah That's just for fun What Ah I'm not one to stick around One strike and you're out baby Don't care if I sound crazy But you never let me down no no That's why when the sun's up I'm stayin' Still layin' in your bed sayin' Ooh ooh ooh ooh Got all this time on my hands Might as well cancel our plans yeah I could stay here for a lifetime So lock the door and throw out the key Can't fight this no more it's just you and me And there's nothin' I nothin' I I can do I'm stuck with you stuck with you stuck with you So go ahead and drive me insane Baby run your mouth I still wouldn't change Being stuck with you stuck with you stuck with you I'm stuck with you stuck with you stuck with you baby There's nowhere we need to be no no no I'ma get to know you better Kinda hope we're here forever There's nobody on these streets If you told me that the world's endin' Ain't no other way that I can spend it Oh oh oh oh Ooh Got all this time in my hands Might as well cancel our plans Yeah yeah I could stay here forever So lock the door and throw out the key Can't fight this no more It's just you and me And there's nothin' I nothin' I I can do I'm stuck with you stuck with you stuck with you So go ahead and drive me insane Baby run your mouth I still wouldn't change Being stuck with you stuck with you stuck with you I'm stuck with you stuck with you stuck with you Woah Baby come take all my time Go on make me lose my mind We got all that we need here tonight I lock the door Lock the door and throw out the key Can't fight this no more Can't fight this no more it's just you and me And there's nothin' I nothin' I'd rather do I'm stuck with you stuck with you stuck with you So go ahead and drive me insane Baby run your mouth I still wouldn't change All this lovin' you hatin' you wantin' you I'm stuck with you stuck with you stuck with You oh oh Stuck with you stuck with you stuck with you
38,Don't Start Now,Dua Lipa,If you don’t wanna see me Did a full 180 crazy Thinking 'bout the way I was Did the heartbreak change me Maybe But look at where I ended up I’m all good already So moved on it’s scary I'm not where you left me at all so If you don't wanna see me dancing with somebody If you wanna believe that anything could stop me Don’t show up Don’t come out Don’t start caring About me now Walk away You know how Don’t start caring About me now Aren’t you the guy who tried to Hurt me with the word goodbye Though it took some time to survive you I’m better on the other side I’m all good already So moved on it’s scary I'm not where you left me at all so If you don't wanna see me dancing with somebody If you wanna believe that anything could stop me Don't don't don't Don’t show up don't come out Don’t start caring About me now Walk away You know how Don’t start caring About me now 'Bout me now 'bout me Up up Don't come out out out Don't show up up up Don't start now Oh Up up Don't come out out out I’m not where you left me at all so If you don’t wanna see me dancing with somebody If you wanna believe that anything could stop me Don’t show up Don’t show up don't come out Don't come out Don’t start caring About me now 'Bout me now Walk away Walk away You know how You know how Don’t start caring About me now So Up up Don't come out out out Don't show up up up Walk away walk away So Up up Don't come out out out Don't show up up up Walk away walk away oh
39,Candy Cane Lane,Sia,Take a trip down Candy Cane Lane with me It's the cutest thing I swear you'll ever see it's the best So get dressed I'll impress You and the colors on the rainbow Take a trip down the Candy Cane Lane with me It's so magical let's go there in your dreams it's the best So get dressed I'll impress You and the lights on the window Red and yellow and pink and green Orange and purple and blue Christmas is waiting for you Christmas is waiting for you Red and yellow and pink and green Orange and purple and blue Christmas is waiting for you Christmas is waiting for you Candy Cane Lane bring a friend this holiday Bring a friend who loves to play we'll eat all the candy canes Oh Candy Cane Lane bring a friend this holiday Bring a friend who loves to play we'll eat all the candy canes Candy canes We'll eat candy canes Take a trip down candy cane lane with me I'll call Rudolph down to meet us in the street We can dance he can prance There's no can'ts 'cause here everything is possible Take a trip down the Candy Cane Lane with me Let's get Santa out and get him on his feet We can dance holding hands Ain't no can'ts 'cause here everything is possible Red and yellow and pink and green Orange and purple and blue Christmas is waiting for you Christmas is waiting for you Red and yellow and pink and green Orange and purple and blue Christmas is waiting for you Christmas is waiting for you Candy Cane Lane bring a friend this holiday Bring a friend who loves to play we'll eat all the candy canes Oh Candy Cane Lane bring a friend this holiday Bring a friend who loves to play we'll eat all the candy canes Candy canes We'll eat candy canes
40,Easy On Me,Adele,There ain’t no gold In this river That I’ve been washing my hands in forever I know there is hope In these waters But I can’t bring myself to swim When I am drowning In this silence baby let me in Go easy on me baby I was still a child Didn’t get the chance to Feel the world around me I had no time to choose What I chose to do So go easy on me There ain’t no room For things to change When we are both so deeply Stuck in our ways You can’t deny how hard I have tried I changed who I was To put you both first But now I give up Go easy on me baby I was still a child Didn’t get the chance to Feel the world around me I had no time to choose What I chose to do So go easy on me I had good intentions And the highest hopes But I know right now It probably doesn’t even show Go easy on me baby I was still a child Didn’t get the chance to Feel the world around me I had no time to choose What I chose to do So go easy on me
41,Love Yourself,Justin Bieber,For all the times that you rain on my parade And all the clubs you get in using my name You think you broke my heart oh girl for goodness sake You think I'm crying on my own well I ain't And I didn't wanna write a song cause I didn't want anyone thinking I still care I don't but you still hit my phone up And baby I be movin' on and I think you should be somethin' I don't wanna hold back maybe you should know that My mama don't like you and she likes everyone And I never like to admit that I was wrong And I've been so caught up in my job didn't see what's going on And now I know I'm better sleeping on my own Cause if you like the way you look that much Oh baby you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself But when you told me that you hated my friends The only problem was with you and not them And every time you told me my opinion was wrong And tried to make me forget where I came from And I didn't wanna write a song cause I didn't want anyone thinking I still care I don't but you still hit my phone up And baby I be movin' on and I think you should be somethin' I don't wanna hold back maybe you should know that My mama don't like you and she likes everyone And I never like to admit that I was wrong And I've been so caught up in my job didn't see what's going on And now I know I'm better sleeping on my own Cause if you like the way you look that much Oh baby you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself For all the times that you made me feel small I fell in love now I fear nothin' at all I never felt so low when I was vulnerable Was I a fool to let you break down my walls Cause if you like the way you look that much Oh baby you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself Cause if you like the way you look that much Oh baby you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself
42,Shape of You,Ed Sheeran,The club isn’t the best place to find a lover So the bar is where I go Me and my friends at the table doing shots drinking fast and then we talk slow you come over and start up a conversation with just me and trust me I’ll give it a chance now Take my hand stop put van the man on the jukebox and then we start to dance And now I’m singing like Girl you know I want your love Your love was handmade for somebody like me Come on now follow my lead I may be crazy don’t mind me Say boy let’s not talk too much Grab on my waist and put that body on me Come on now follow my lead Come come on now follow my lead I’m in love with the shape of you We push and pull like a magnet do Although my heart is falling too I’m in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand new I’m in love with your body Oh I Oh I Oh I Oh I I’m in love with your body Oh I Oh I Oh I Oh I I’m in love with your body Oh I Oh I Oh I Oh I I’m in love with your body Every day discovering something brand new I’m in love with the shape of you One week in we let the story begin We’re going out on our first date You and me are thrifty So go all you can eat Fill up your bag and I fill up a plate We talk for hours and hours about the sweet and the sour And how your family’s doing ok leave and get in a taxi then kiss in the backseat Tell the driver make the radio play and I'm singing like Girl you know I want your love Your love was handmade for somebody like me Come on now follow my lead I may be crazy don’t mind me Say boy let’s not talk too much Grab on my waist and put that body on me Come on now follow my lead Come come on now follow my lead I’m in love with the shape of you We push and pull like a magnet do Although my heart is falling too I’m in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand new Well I’m in love with your body Oh I Oh I Oh I Oh I I’m in love with your body Oh I Oh I Oh I Oh I I’m in love with your body Oh I Oh I Oh I Oh I I’m in love with your body Every day discovering something brand new I’m in love with the shape of you Come on be my baby come on Come on be my baby come on Come on be my baby come on Come on be my baby come on Come on be my baby come on Come on be my baby come on Come on be my baby come on Come on be my baby come on I’m in love with the shape of you We push and pull like a magnet do Although my heart is falling too I’m in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand new Well I’m in love with your body Come on be my baby come on Come on be my baby come on Come on be my baby come on Come on be my baby come on Come on be my baby come on Come on be my baby come on Every day discovering something brand new I’m in love with the shape of you
43,Last Christmas,Johnny Orlando,Last Christmas I gave you my heart But the very next day you gave it away This year to save me from tears I'll give it to someone special Last Christmas I gave you my heart Gave you my heart But the very next day you gave it away You gave it away This year to save me from tears Save me from tears I'll give it to someone special Special Once bitten and twice shy I keep my distance but you still catch my eye Tell me baby do you recognize me God it's been a year it doesn't surprise me Yeah yeah yeah I wrapped it up and sent it With a note saying I love you I meant it Now I know what a fool I've been But if you kissed me now you'd fool me again Last Christmas I gave you my heart Gave you my heart But the very next day you gave it away You gave it away This year to save me from tears Save me from tears I'll give it to someone special Ooh-oh ooh-oh Oh give it to someone oh yeah A crowded room friends with tired eyes I'm hiding from you and your soul of ice My God I thought you were someone to rely on I guess I was a shoulder to cry on A face of a lover with a fire in his heart A man under cover but you tore me apart Yeah Now I've found a real love you'll never fool me again Last Christmas I gave you my heart Gave you my heart But the very next day you gave it away You gave it away This year to save me from tears Save me from tears I'll give it to someone special I'll give it to someone Last Christmas I gave you my heart But the very next day you gave it away You gave it away This year to save me from tears Save me from tears I'll give it to someone special Special A face of a lover with a fire in his heart Fire in his heart A man under cover but you tore him apart Apart Maybe next year I'll give it to someone I'll give it to someone special
